ID,animal,fecha,time,altura,mo2ind,mo2gh,mo2gs_umol_h_gdrymass,dias,exper1,masa,fecha2,time2,dias2,masa_seca_gram
165,3,04/22/11,0.351736111,3.467121807,0.011655523,0.817931457,3.196122324,1,E1,14.25,40655.35174,1.351736111,0,3.6027565
166,3,04/22/11,0.380902778,2.804448738,0.010446037,0.733055199,2.864462623,1,E1,14.25,40655.3809,1.380902778,0,3.6027565
167,3,04/22/11,0.410069444,2.243363922,0.011019767,0.773317013,3.021788379,1,E1,14.25,40655.41007,1.410069444,0,3.6027565
168,3,04/22/11,0.455555556,1.74098125,0.011499107,0.806954887,3.153230639,1,E1,14.25,40655.45556,1.455555556,0,3.6027565
169,3,04/22/11,0.484375,1.721785715,0.014446646,1.013799743,3.961490862,1,E1,14.25,40655.48438,1.484375,0,3.6027565
46,4,04/21/11,0.409375,1.407561472,0.006993314,0.428511884,1.758412317,0,E1,16.32,40654.40938,0.409375,0,3.95620072
47,4,04/21/11,0.455902778,1.25742296,0.005297965,0.324630215,1.332130543,0,E1,16.32,40654.4559,0.455902778,0,3.95620072
48,4,04/21/11,0.501041667,1.84459582,0.0091125,0.558363971,2.291264535,0,E1,16.32,40654.50104,0.501041667,0,3.95620072
49,4,04/21/11,0.544791667,2.94255327,0.005721802,0.350600633,1.438700987,0,E1,16.32,40654.54479,0.544791667,0,3.95620072
50,4,04/21/11,0.592708333,4.376495841,0.0066825,0.409466912,1.680260659,0,E1,16.32,40654.59271,0.592708333,0,3.95620072
51,4,04/21/11,0.622222222,5.178698007,0.02222561,1.361863343,5.588450084,0,E1,16.32,40654.62222,0.622222222,0,3.95620072
52,4,04/21/11,0.667013889,6.009450133,0.016529651,1.012846272,4.156247295,0,E1,16.32,40654.66701,0.667013889,0,3.95620072
53,4,04/21/11,0.696527778,6.198571765,0.014102679,0.864134716,3.546004637,0,E1,16.32,40654.69653,0.696527778,0,3.95620072
54,4,04/21/11,0.741666667,5.895239003,0.010001524,0.612838504,2.514802538,0,E1,16.32,40654.74167,0.741666667,0,3.95620072
55,4,04/21/11,0.770486111,5.371062931,0.014446646,0.885211173,3.632492555,0,E1,16.32,40654.77049,0.770486111,0,3.95620072
56,4,04/21/11,0.816319444,4.172767331,0.011655523,0.714186474,2.930687195,0,E1,16.32,40654.81632,0.816319444,0,3.95620072
57,4,04/21/11,0.845833333,3.300107227,0.018658929,1.143316702,4.691636904,0,E1,16.32,40654.84583,0.845833333,0,3.95620072
58,4,04/21/11,0.890625,2.086760746,0.0204525,1.253216912,5.142615956,0,E1,16.32,40654.89063,0.890625,0,3.95620072
59,4,04/21/11,0.969444444,1.100085255,0.010206,0.625367647,2.566216279,0,E1,16.32,40654.96944,0.969444444,0,3.95620072
60,4,04/21/11,0.999652778,1.266643897,0.011821622,0.72436407,2.972451288,0,E1,16.32,40654.99965,0.999652778,0,3.95620072
170,4,04/22/11,0.027083333,1.674213963,0.010414286,0.638130252,2.61858804,1,E1,16.32,40655.02708,1.027083333,0,3.95620072
171,4,04/22/11,0.055902778,2.10850613,0.009779268,0.599219871,2.458918037,1,E1,16.32,40655.0559,1.055902778,0,3.95620072
172,4,04/22/11,0.102777778,3.188162489,0.012219034,0.748715324,3.072377444,1,E1,16.32,40655.10278,1.102777778,0,3.95620072
173,4,04/22/11,0.132638889,4.142072982,0.01974375,1.209788603,4.964406492,1,E1,16.32,40655.13264,1.132638889,0,3.95620072
174,4,04/22/11,0.161805556,4.802664055,0.008895536,0.54506959,2.236710617,1,E1,16.32,40655.16181,1.161805556,0,3.95620072
175,4,04/22/11,0.192361111,5.267032427,0.012876359,0.788992567,3.237656408,1,E1,16.32,40655.19236,1.192361111,0,3.95620072
176,4,04/22/11,0.244097222,5.363964168,0.0127575,0.781709559,3.207770348,1,E1,16.32,40655.2441,1.244097222,0,3.95620072
177,4,04/22/11,0.274305556,5.052433863,0.015404464,0.943900998,3.873328142,1,E1,16.32,40655.27431,1.274305556,0,3.95620072
178,4,04/22/11,0.352083333,3.45897375,0.012426136,0.761405414,3.124451638,1,E1,16.32,40655.35208,1.352083333,0,3.95620072
